date_i,n_clouds,LCL_srf,z_cloudbase,dLCL_decoupling,z_inv_base,z_inv_top,sfc_inversion,top_inversion,qT_BL,qT_jump,qT_3km,thetaL_BL,thetaL_jump,thetaL_3km,BLwnd_dir_avg,BLwnd_spd_avg,dq_decoupling,dtheta_decoupling,wellmixed_dtv,decoupled_dtv,wellmixed_dLCL,decoupled_dLCL
16-Jan-2014 00:00:00,NaN,1394.94552010017,NaN,NaN,1717,1858,0,0,7.14820271066588,-6.89823604399922,0.249966666666667,292.480406599882,6.74444425412634,322.297716633968,31.9188475255235,6.77089746611668,0.641912779878744,-1.13997238729814,0,0,0,0
16-Jan-2014 12:00:00,NaN,1395.47606771452,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0
17-Jan-2014 00:00:00,NaN,1145.97801449031,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0
17-Jan-2014 12:00:00,NaN,1648.4948974596,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0
18-Jan-2014 00:00:00,NaN,1520.71601069893,NaN,NaN,239,445,0,0,7.88436073059361,-4.3542227542467,3.53013797634691,293.959360730594,7.1630227479132,312.935828226353,63.7708805011214,12.0543561643836,NaN,NaN,0,0,0,0
18-Jan-2014 12:00:00,NaN,2756.70307323335,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0
19-Jan-2014 00:00:00,NaN,1892.72075665888,NaN,NaN,204,614,0,0,7.81195652173913,-4.1094835297241,3.70247299201503,296.507336956522,7.36828292407108,315.610503126327,69.3450090290408,8.95589130434783,NaN,NaN,0,0,0,0
19-Jan-2014 12:00:00,NaN,3488.67835494098,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0
20-Jan-2014 00:00:00,NaN,1398.12985907276,NaN,NaN,457,566,0,0,8.60264302059497,-1.93297811759673,6.66966490299824,293.879061784897,11.490957109013,312.116248895915,77.8164547782795,11.9766704805492,NaN,NaN,0,0,0,0
20-Jan-2014 12:00:00,NaN,3484.11299340148,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0
21-Jan-2014 00:00:00,NaN,1150.11954471017,NaN,NaN,511,696,0,0,9.22840122199593,-3.42281568812681,5.80558553386912,293.955295315682,12.029188277844,312.440069763282,82.7300969029339,8.54956822810591,NaN,NaN,0,0,0,0
21-Jan-2014 12:00:00,NaN,2644.27252463499,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0
22-Jan-2014 00:00:00,NaN,1278.49611952379,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0
22-Jan-2014 12:00:00,NaN,2532.32073521385,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0
23-Jan-2014 00:00:00,NaN,1153.82929771054,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0
23-Jan-2014 12:00:00,NaN,2148.73478299616,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0
24-Jan-2014 00:00:00,1,1151.64662127624,1031,-120.646621276243,1307,1513,0,0,10.6009557109557,-7.89251704924567,2.70843866171004,295.358275058275,4.74978520028122,316.739340895159,276.220739072175,11.8184055944056,0.0253937007874008,-0.430314960629914,1,0,1,0
24-Jan-2014 12:00:00,NaN,2023.98628864737,NaN,NaN,1940,2056,0,0,10.3537838541667,-4.52769028691521,5.82609356725146,302.269713541667,5.85649736120348,311.505415941342,82.7799269612665,13.1111494791667,-0.565703012912483,-0.695624103299849,0,0,0,0
25-Jan-2014 00:00:00,NaN,1279.46465144856,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0
25-Jan-2014 12:00:00,NaN,1657.25669802267,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0
26-Jan-2014 00:00:00,NaN,903.728130146325,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0
26-Jan-2014 12:00:00,NaN,1028.71316098604,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0
27-Jan-2014 00:00:00,NaN,775.507262871707,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0
27-Jan-2014 12:00:00,1,1025.99196406441,1077,51.0080359355939,1077,1437,0,0,10.0102507095553,-7.77018504351407,2.24006566604128,294.143357271095,5.86343992726393,317.628224554368,13.7965313549119,10.9114370860927,NaN,NaN,0,0,1,0
28-Jan-2014 00:00:00,NaN,1146.41372766308,NaN,NaN,1389,1646,0,0,6.92307158509861,-6.4418758501405,0.481195734958111,291.138166544923,11.2128808382875,313.843821269746,303.7326317864,7.91255880204529,0.335707981139669,-3.74340463458111,0,0,0,0
28-Jan-2014 12:00:00,NaN,3108.73260375438,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0
